id;city;street;postal_code
1;Horaciochester;Taryn Ridge;Versatile Lilangeni Frozen
2;Champlinstad;Shanahan Parks;networks experiences Sports
3;New Devenfurt;McDermott Well;JSON Michigan Cambridgeshire
4;West Deliaview;Bartell Mission;copy methodical
5;Port Naomiberg;Muller Dam;Tasty microchip Awesome Wooden Table
6;New Olebury;Koss Summit;Designer Hat
7;Mannfurt;Barney Harbor;capacitor
8;West Chelsey;Friesen Street;Timor-Leste
9;Hilpertview;Mosciski Skyway;Leone Toys Home
10;New Amanifort;Stacey Spring;National Avon
